Age,Sex,DeathProb,NumberOfLives,LifeExp
0,Male,0.006383,"100,000",76.15
1,Male,0.000453,"99,362",75.63
2,Male,0.000282,"99,317",74.67
3,Male,0.00023,"99,289",73.69
4,Male,0.000169,"99,266",72.71
5,Male,0.000155,"99,249",71.72
6,Male,0.000145,"99,234",70.73
7,Male,0.000135,"99,219",69.74
8,Male,0.00012,"99,206",68.75
9,Male,0.000105,"99,194",67.76
10,Male,9.40E-05,"99,184",66.76
11,Male,9.90E-05,"99,174",65.77
12,Male,0.000134,"99,164",64.78
13,Male,0.000207,"99,151",63.79
14,Male,0.000309,"99,131",62.8
15,Male,0.000419,"99,100",61.82
16,Male,0.00053,"99,059",60.84
17,Male,0.000655,"99,006",59.88
18,Male,0.000791,"98,941",58.91
19,Male,0.000934,"98,863",57.96
20,Male,0.001085,"98,771",57.01
21,Male,0.001228,"98,663",56.08
22,Male,0.001339,"98,542",55.14
23,Male,0.001403,"98,410",54.22
24,Male,0.001433,"98,272",53.29
25,Male,0.001451,"98,131",52.37
26,Male,0.001475,"97,989",51.44
27,Male,0.001502,"97,844",50.52
28,Male,0.001538,"97,698",49.59
29,Male,0.001581,"97,547",48.67
30,Male,0.001626,"97,393",47.75
31,Male,0.001669,"97,235",46.82
32,Male,0.001712,"97,072",45.9
33,Male,0.001755,"96,906",44.98
34,Male,0.0018,"96,736",44.06
35,Male,0.001855,"96,562",43.14
36,Male,0.00192,"96,383",42.22
37,Male,0.001988,"96,198",41.3
38,Male,0.00206,"96,006",40.38
39,Male,0.002141,"95,809",39.46
40,Male,0.00224,"95,603",38.54
41,Male,0.002362,"95,389",37.63
42,Male,0.002509,"95,164",36.72
43,Male,0.002684,"94,925",35.81
44,Male,0.00289,"94,671",34.9
45,Male,0.003121,"94,397",34
46,Male,0.003386,"94,102",33.11
47,Male,0.003707,"93,784",32.22
48,Male,0.004091,"93,436",31.34
49,Male,0.004531,"93,054",30.46
50,Male,0.005013,"92,632",29.6
51,Male,0.005524,"92,168",28.75
52,Male,0.006059,"91,659",27.9
53,Male,0.006611,"91,103",27.07
54,Male,0.007187,"90,501",26.25
55,Male,0.0078,"89,851",25.43
56,Male,0.008456,"89,150",24.63
57,Male,0.009144,"88,396",23.83
58,Male,0.009865,"87,588",23.05
59,Male,0.010622,"86,724",22.27
60,Male,0.011458,"85,802",21.51
61,Male,0.01235,"84,819",20.75
62,Male,0.013235,"83,772",20
63,Male,0.014097,"82,663",19.27
64,Male,0.014979,"81,498",18.53
65,Male,0.015967,"80,277",17.81
66,Male,0.017109,"78,995",17.09
67,Male,0.018392,"77,644",16.38
68,Male,0.019836,"76,216",15.68
69,Male,0.021465,"74,704",14.98
70,Male,0.023351,"73,100",14.3
71,Male,0.025482,"71,393",13.63
72,Male,0.027794,"69,574",12.97
73,Male,0.030282,"67,640",12.33
74,Male,0.033022,"65,592",11.7
75,Male,0.036201,"63,426",11.08
76,Male,0.039858,"61,130",10.48
77,Male,0.043891,"58,693",9.89
78,Male,0.048311,"56,117",9.33
79,Male,0.053228,"53,406",8.77
80,Male,0.058897,"50,564",8.24
81,Male,0.065365,"47,585",7.72
82,Male,0.072491,"44,475",7.23
83,Male,0.080288,"41,251",6.75
84,Male,0.088916,"37,939",6.3
85,Male,0.098576,"34,566",5.87
86,Male,0.109438,"31,158",5.45
87,Male,0.121619,"27,748",5.06
88,Male,0.135176,"24,374",4.69
89,Male,0.150109,"21,079",4.35
90,Male,0.166397,"17,915",4.03
91,Male,0.183997,"14,934",3.73
92,Male,0.202855,"12,186",3.46
93,Male,0.222911,"9,714",3.21
94,Male,0.244094,"7,549",2.99
95,Male,0.265091,"5,706",2.8
96,Male,0.285508,"4,193",2.63
97,Male,0.304926,"2,996",2.48
98,Male,0.322919,"2,083",2.34
99,Male,0.339065,"1,410",2.22
100,Male,0.356018,932,2.11
101,Male,0.373819,600,2
102,Male,0.39251,376,1.89
103,Male,0.412135,228,1.79
104,Male,0.432742,134,1.69
105,Male,0.454379,76,1.59
106,Male,0.477098,42,1.5
107,Male,0.500953,22,1.41
108,Male,0.526,11,1.33
109,Male,0.5523,5,1.25
110,Male,0.579915,2,1.17
111,Male,0.608911,1,1.1
112,Male,0.639357,0,1.03
113,Male,0.671325,0,0.96
114,Male,0.704891,0,0.89
115,Male,0.740135,0,0.83
116,Male,0.777142,0,0.77
117,Male,0.815999,0,0.71
118,Male,0.856799,0,0.66
119,Male,0.899639,0,0.61
0,Female,0.005374,"100,000",80.97
1,Female,0.000353,"99,463",80.41
2,Female,0.000231,"99,427",79.44
3,Female,0.000165,"99,405",78.45
4,Female,0.000129,"99,388",77.47
5,Female,0.000116,"99,375",76.48
6,Female,0.000107,"99,364",75.48
7,Female,0.000101,"99,353",74.49
8,Female,9.60E-05,"99,343",73.5
9,Female,9.20E-05,"99,334",72.51
10,Female,9.10E-05,"99,325",71.51
11,Female,9.60E-05,"99,316",70.52
12,Female,0.000111,"99,306",69.53
13,Female,0.000138,"99,295",68.53
14,Female,0.000174,"99,281",67.54
15,Female,0.000214,"99,264",66.56
16,Female,0.000254,"99,243",65.57
17,Female,0.000294,"99,217",64.59
18,Female,0.00033,"99,188",63.61
19,Female,0.000364,"99,156",62.63
20,Female,0.000399,"99,120",61.65
21,Female,0.000436,"99,080",60.67
22,Female,0.000469,"99,037",59.7
23,Female,0.000497,"98,990",58.73
24,Female,0.000522,"98,941",57.76
25,Female,0.000546,"98,890",56.79
26,Female,0.000572,"98,836",55.82
27,Female,0.000604,"98,779",54.85
28,Female,0.000644,"98,719",53.88
29,Female,0.00069,"98,656",52.92
30,Female,0.00074,"98,588",51.95
31,Female,0.000792,"98,515",50.99
32,Female,0.000841,"98,437",50.03
33,Female,0.000886,"98,354",49.07
34,Female,0.000929,"98,267",48.11
35,Female,0.000977,"98,175",47.16
36,Female,0.001034,"98,080",46.2
37,Female,0.001098,"97,978",45.25
38,Female,0.001171,"97,870",44.3
39,Female,0.001253,"97,756",43.35
40,Female,0.001347,"97,633",42.41
41,Female,0.001452,"97,502",41.46
42,Female,0.001571,"97,360",40.52
43,Female,0.001706,"97,207",39.59
44,Female,0.001857,"97,041",38.65
45,Female,0.002022,"96,861",37.72
46,Female,0.002204,"96,665",36.8
47,Female,0.002411,"96,452",35.88
48,Female,0.002648,"96,220",34.96
49,Female,0.00291,"95,965",34.06
50,Female,0.003193,"95,686",33.15
51,Female,0.003491,"95,380",32.26
52,Female,0.003801,"95,047",31.37
53,Female,0.004119,"94,686",30.49
54,Female,0.004449,"94,296",29.61
55,Female,0.004813,"93,877",28.74
56,Female,0.005201,"93,425",27.88
57,Female,0.005583,"92,939",27.02
58,Female,0.005952,"92,420",26.17
59,Female,0.006325,"91,870",25.32
60,Female,0.006749,"91,289",24.48
61,Female,0.007238,"90,673",23.64
62,Female,0.007776,"90,017",22.81
63,Female,0.008368,"89,317",21.99
64,Female,0.009032,"88,569",21.17
65,Female,0.009794,"87,769",20.36
66,Female,0.010673,"86,910",19.55
67,Female,0.011676,"85,982",18.76
68,Female,0.012815,"84,978",17.98
69,Female,0.014105,"83,889",17.2
70,Female,0.015616,"82,706",16.44
71,Female,0.017318,"81,414",15.69
72,Female,0.019118,"80,004",14.96
73,Female,0.020996,"78,475",14.24
74,Female,0.023033,"76,827",13.54
75,Female,0.025413,"75,058",12.85
76,Female,0.028197,"73,150",12.17
77,Female,0.031313,"71,088",11.51
78,Female,0.034782,"68,862",10.86
79,Female,0.038689,"66,466",10.24
80,Female,0.043258,"63,895",9.63
81,Female,0.04849,"61,131",9.04
82,Female,0.054223,"58,167",8.48
83,Female,0.060446,"55,013",7.93
84,Female,0.067338,"51,688",7.41
85,Female,0.075133,"48,207",6.91
86,Female,0.084033,"44,585",6.43
87,Female,0.094177,"40,838",5.98
88,Female,0.105633,"36,992",5.54
89,Female,0.118407,"33,085",5.14
90,Female,0.132476,"29,167",4.76
91,Female,0.147801,"25,303",4.41
92,Female,0.164331,"21,563",4.09
93,Female,0.182012,"18,020",3.8
94,Female,0.200783,"14,740",3.54
95,Female,0.219758,"11,781",3.3
96,Female,0.23863,"9,192",3.09
97,Female,0.257065,"6,998",2.9
98,Female,0.274706,"5,199",2.73
99,Female,0.291189,"3,771",2.57
100,Female,0.30866,"2,673",2.42
101,Female,0.32718,"1,848",2.27
102,Female,0.34681,"1,243",2.14
103,Female,0.367619,812,2
104,Female,0.389676,514,1.88
105,Female,0.413057,313,1.76
106,Female,0.43784,184,1.64
107,Female,0.464111,103,1.53
108,Female,0.491957,55,1.43
109,Female,0.521475,28,1.33
110,Female,0.552763,13,1.24
111,Female,0.585929,6,1.15
112,Female,0.621085,2,1.06
113,Female,0.65835,1,0.98
114,Female,0.697851,0,0.9
115,Female,0.739722,0,0.83
116,Female,0.777142,0,0.77
117,Female,0.815999,0,0.71
118,Female,0.856799,0,0.66
119,Female,0.899639,0,0.61
